"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"Q2";"SOT-23";1;"PMV65UNER";;;
2;"R2,R3";"R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal";2;"10K";;;
